id,new_name,sor,frat,female_fc,male_fc,coed_fc
0,Kappa Alpha Theta,1,0,0,0,0
1,Kappa Kappa Gamma,1,0,0,0,0
2,Delta Gamma,1,0,0,0,0
3,Alpha Phi,1,0,0,0,0
4,Sigma Chi Fraternity,0,1,0,0,0
5,KS Club,0,0,0,0,1
6,Sigma Alpha Epsilon Fraternity,0,1,0,0,0
7,Aleph Club,0,0,0,0,1
8,Delta Kappa Epsilon,0,1,0,0,0,
9,The Bee Club,0,0,0,0,1
10,The IC Club,0,0,1,0,0
11,The Sabliere Society,0,0,0,0,1
12,The Pleiades Society,0,0,1,0,0
13,La Vie Club Inc.,0,0,1,0,0
14,The Seneca,0,0,0,0,1
15,A.D. Club,0,0,0,1,0
16,The Spee Club,0,0,0,0,1
17,The Fly Club,0,0,0,1,0
18,The Fox Club,0,0,0,1,0
19,The Owl Club,0,0,0,1,0
20,The Porcellian Club,0,0,0,1,0
21,Phoenix S.K. Club,0,0,0,1,0
22,Delphic Club,0,0,0,0,1
23,The Oak Club,0,0,0,0,1
